Dates,SPX Index,QQQ US Equity,IWM US Equity,HYG US Equity,LQD US Equity,AGG US Equity,TLT US Equity,IEF US Equity,SHY US Equity,TIP US Equity,GLD US Equity,SLV US Equity,USO US Equity,VNQ US Equity,IYR US Equity
5/7/2007,1509.48,43.0193,72.137,52.9882,71.0217,74.4656,64.3299,64.5719,71.0655,77.1753,68.25,13.456,48.06,52.1194,57.2005
5/8/2007,1507.72,43.1115,71.875,53.0284,70.982,74.3838,64.1851,64.5719,71.101,77.2673,67.88,13.4,48.64,51.776,56.8269
5/9/2007,1512.58,43.2038,72.1632,52.8877,70.8696,74.2946,63.9316,64.362,71.0478,77.022,67.45,13.324,48.01,52.3374,57.4874
5/10/2007,1491.47,42.6134,71.2199,53.0787,70.9026,74.421,64.0837,64.5253,71.1099,77.1906,66,12.953,48.15,51.6373,56.9136
5/11/2007,1505.85,43.1577,71.8837,53.1089,70.8299,74.2723,63.8592,64.3931,71.0833,77.0526,66.45,13.147,48.57,52.3374,57.5475
5/14/2007,1503.15,42.8624,71.3597,53.1038,70.7571,74.2872,63.6927,64.2998,71.03,76.93,66.28,13.05,48.56,52.0402,56.947
5/15/2007,1501.19,42.5303,70.7308,53.0636,70.5984,74.2574,63.6709,64.292,71.0478,76.723,66.54,13.123,48.99,51.2477,56.1797
5/16/2007,1514.14,42.9455,71.1238,53.2044,70.7638,74.2723,63.6275,64.2531,71.1187,76.6463,65.6,12.86,48.53,50.6137,55.6593
5/17/2007,1512.75,42.7425,70.5561,53.1893,70.5521,74.1459,63.3668,64.0821,71.0744,76.6156,65.06,12.77,50.16,49.7354,54.6584
5/18/2007,1522.75,43.0931,71.3859,53.2044,70.3538,73.9303,62.9468,63.8955,71.0034,76.4163,65.52,12.904,50.1,49.2334,54.1847
5/21/2007,1525.1,43.3699,72.2855,53.2546,70.4463,74.079,63.1351,63.981,71.0212,76.608,65.67,12.999,50.82,49.4316,54.5584
5/22/2007,1524.12,43.4068,72.7834,53.2596,70.2215,73.9303,62.8092,63.8022,71.0389,76.309,65.22,12.89,49.92,50.1646,55.1255
5/23/2007,1522.28,43.2038,72.4951,53.2194,70.1554,73.8709,62.6282,63.6778,71.0212,76.3013,65.54,12.951,50.17,49.7816,54.6918
5/24/2007,1507.51,42.5857,71.6217,53.2345,70.2413,73.9006,62.6861,63.7633,71.0478,76.3933,64.75,12.768,48.93,48.9495,53.8578
5/25/2007,1515.73,42.8532,72.0584,53.3099,70.1951,73.8634,62.5413,63.6933,71.0921,76.5006,64.94,12.88,49.5,49.2268,54.1981
5/29/2007,1518.11,43.1853,72.7834,53.0988,70.0562,73.7891,62.5341,63.5612,71.0212,76.2706,65.07,13.096,48.4,50.9835,55.8528
5/30/2007,1530.23,43.5359,73.1939,53.2194,70.1091,73.8783,62.6644,63.6235,71.0744,76.3396,64.72,13.101,48.21,52.3506,57.2806
5/31/2007,1530.62,43.7389,73.5432,53.134,70.0496,73.7147,62.5486,63.6,71.03,76.3856,65.54,13.383,48.96,52.1392,57.1272
6/1/2007,1536.34,43.7666,73.98,53.1267,69.7815,73.6387,62.2197,63.3262,70.9933,76.1288,66.44,13.637,49.46,52.2119,57.1005
6/4/2007,1539.18,43.8958,74.0586,53.1721,69.8944,73.7283,62.5032,63.4277,71.02,76.329,66.54,13.648,50.35,52.4232,57.4608
6/5/2007,1530.95,43.8957,73.7616,53.0963,69.6685,73.5192,62.1106,63.2247,70.9577,76.0518,66.37,13.7,50.02,51.5911,56.4666
6/6/2007,1517.38,43.4252,72.9406,53.0306,69.7283,73.5491,62.0815,63.2559,71.0467,76.1134,66.41,13.638,50.3112,51.2411,56.113
6/7/2007,1490.72,42.7516,71.4819,52.783,68.9842,73.0414,60.9693,62.6236,70.9666,75.4511,65.26,13.363,50.65,49.6297,54.3782
6/8/2007,1507.67,43.2776,72.3641,52.6414,69.0174,72.9518,60.9184,62.7407,70.9933,75.5897,64.22,13.03,49.06,50.2241,55.2723
6/11/2007,1509.12,43.1946,72.3816,52.5302,68.8048,73.004,60.7439,62.5768,71.0022,75.428,64.7,13.154,49.84,49.4712,54.4583
6/12/2007,1493,42.9363,71.1937,52.2624,68.4348,72.571,59.8643,62.1318,70.9398,74.9582,64.1,12.931,49.56,48.6127,53.3107
6/13/2007,1515.67,43.4068,72.137,52.3533,68.7317,72.683,60.5767,62.3348,70.9577,75.2354,64.53,13.065,50.09,49.6891,54.4583
6/14/2007,1522.97,43.6928,72.7921,52.3938,68.7118,72.8249,60.4241,62.3504,70.9577,75.2817,64.6,13.0713,51.1,49.1542,53.8978
6/15/2007,1532.91,44.0685,73.6568,52.3837,68.9839,73.0862,60.8384,62.6236,71.0556,75.505,64.85,13.161,51.53,49.6957,54.7118
6/18/2007,1531.05,44.1054,73.517,52.414,68.9776,73.1384,60.7149,62.5924,71.0556,75.4434,64.95,13.163,52.14,48.9297,53.8978
6/19/2007,1533.7,44.0962,73.7092,52.4797,69.4227,73.3699,61.2819,62.8968,71.1802,75.8439,65.48,13.265,52.12,49.0221,53.9512
6/20/2007,1512.84,43.6807,72.434,52.0148,69.0905,73.1459,60.7876,62.694,71.109,75.5589,64.71,13.081,51.55,47.5494,52.9904
6/21/2007,1522.19,44.0777,72.9231,52.1107,68.9111,73.0562,60.4968,62.6158,71.1357,75.5281,64.56,13.012,51.6,47.8135,52.7769
6/22/2007,1502.56,43.6622,72.4252,52.2118,69.0972,73.228,60.8893,62.8032,71.2336,75.8362,64.78,13.006,51.89,47.6353,52.5767
6/25/2007,1497.74,43.4776,72.0497,51.9086,69.1769,73.2952,61.2237,63.0061,71.296,76.0133,64.43,12.825,51.96,46.8542,51.3824
6/26/2007,1492.89,43.2283,71.3946,52.0602,69.1636,73.2056,61.2383,63.0217,71.2515,75.8593,63.62,12.145,51.12,46.6737,51.309
6/27/2007,1506.34,43.893,72.9755,51.8782,69.1636,73.3475,61.2964,63.0139,71.2426,75.8978,63.67,12.21,51.88,47.8706,52.4233
6/28/2007,1505.71,43.8746,73.0009,51.6053,69.0905,73.2952,61.2819,62.9749,71.2247,75.7745,64.26,12.4,52.47,47.6232,52.2186
6/29/2007,1503.35,43.9484,72.5983,51.4587,69.4825,73.4371,61.9143,63.3028,71.3672,76.2289,64.27,12.35,53,47.4427,52.1513
7/2/2007,1519.43,44.327,73.4997,51.8617,69.3102,73.6325,62.2396,63.3994,71.4141,76.451,65.02,12.588,53.53,48.5393,53.4648
7/3/2007,1524.87,44.604,73.8235,51.7651,69.3235,73.55,61.8601,63.2113,71.3873,76.1416,64.74,12.532,53.54,48.4056,53.2156
7/5/2007,1525.4,44.9271,73.9197,51.577,68.8764,73.2426,61.1668,62.8587,71.289,75.8244,64.42,12.465,54.15,49.1344,54.0711
7/6/2007,1530.44,45.1118,74.2085,51.6329,68.7429,73.1151,60.9187,62.7098,71.28,75.662,64.96,12.68,54.68,49.0742,53.9566
